,作者,文章名称,关键词,摘要,发表位置,时间,单位或其他,下载量,被引量
545,胡金玉,基于CORS参考站对区域水汽的研究,"香港CORS站
/
垂直分辨率
/
三维层析
/
先验垂直信息","水汽是地球大气中的重要组成部分,虽然在整个大气中所占比例仅为0.1%-3%,但它却是大气中最活跃的组成部分,其时空分布和变化相当复杂。地球上的许多天气变化与自然灾害的发生与大气的水汽含量有着密切的关系。常规的大气水汽探测手段受探测技术的限制,很难获取高时空分辨率及高精度的大气水汽分布信息。因此,有效获取高精度、高时空分辨率的大气水汽信息对准确分析中小尺度恶劣天气的形成和演变,并及时对天气的预报和防灾减灾具有重要指导作用。本论文围绕着以下各方面内容展开研究：

	1、介绍了GPS水汽反演的方法及理论依据,为后续的层析香港地区大气水汽提供理论基础。

	2、本文以香港CORS站采集的观测数据作为研究基础,采用BERNESE软件解算各个测站的天顶湿延迟,反演至每个测站的天顶方向上大气可降水量PWV,将HKSC站反演的大气可降水量PWV与其最近的京士柏探空站反演的结果进行对比分析。研究分析了GPS反演天顶湿延迟的误差,以BERNESE软件作为数据处理基础并通过实验对采用不同星历和海潮模型改正对天顶湿延迟影响进行分析。

	3、针对在层析方程解算中,采用传统最小二乘法在稀疏矩阵求逆的不足,本文研究了迭代重构算法在层析解算中的应用,同时对MART算法进行修正,并将其应用于层析方程的解算。研究结果表明：采用修正的MART算法能够用于层析方程的解算。

	4、为了研究垂直分辨率对层析结果的影响,设计了采用垂直分辨率分别为425m和850m对香港区域进行三维水汽层析。实验结果表明：采用425m的垂直分辨率更符合大气水汽的分布特性。

	5、为了研究垂直先验信息对层析结果的影响,设计了两种方案,方案一：选用层析时刻前五天的探空资料的平均值作为垂直先验信息；方案二：选用层析时刻上次最近一次探空资料作为垂直先验信息,并将两种方案用于水汽层析的实验。实验结果表明：选用方案一对大气水汽分布具有一定的改善作用。

	6、针对香港卫星定位参考站网的接收机可以同时接收GPS与GLONASS卫星信号,提出了将GLONASS融合GPS卫星信号应用于大气水汽层析中,研究了采用融合卫星信号对大气水汽层析的改善效果。研究结果表明：与单GPS相比,采用融合的卫星信号在穿过层析区域内格网的数目有一定的提高,但在水汽层析结果方面改善作用并不明显。",《西南交通大学》,2014年,【学位授予单位】：西南交通大学【学位级别】：硕士【学位授予年份】：2014【分类号】：P228.4;P412.13,404.0,9.0
546,闫佰忠,长白山玄武岩区地热水资源成因机制研究,"长白山玄武岩区
/
地热水资源
/
分布特征
/
水岩反应","在中国工业化进程中,由于传统能源的大量使用,引发了一系列的生态环境问题。地热能作为可持续的清洁能源,是重要的战略性资源,对于缓解环境问题具有至关重要的作用。长白山区是我国典型的新生代火山活动区,蕴藏着丰富的地热水资源,其独特的地热地质条件导致地热水类型多样、分布不均和成因机制复杂,特别是玄武岩覆盖区隐伏型地热水资源的研究成果需要进一步完善。因此,查明长白山玄武岩区地热水资源的类型和特征,揭示其成因机制,对于地热水资源的合理、有效、科学的开发具有重要的理论和实际意义,同时对我国清洁能源供给,建立多元供应体系的能源安全战略具有极其重要的推动作用。本文依托于吉林省地质勘查基金项目“吉林省长白山玄武岩区地热资源调查(编号2014-13)”。以地质学、水文地质学、物探学、遥感学、数值模拟等多学科理论为指导,采用资料收集分析、野外地热水文地质调查、采样测试、遥感解译、数理计算、地球物理勘探、地热井钻探、抽水试验、室内水岩实验等综合技术方法和手段研究了长白山玄武岩地热水资源的成因机制。取得了以下成果。(1)查清了区内地热地质条件,确定了地热水资源的类型和分布特征。地热水资源分为火山岩浆型、沉积盆地型和断裂构造型三种。地热水资源异常区可分为4个,分别为:(1)环长白山天池火山口潜在地热区,属于火山岩浆型;(2)松江河镇-抚松县以及二道白河-松江镇潜在地热区,属于沉积盆地型;(3)长白县-十四道沟潜在地热区,属于断裂构造型;(4)仙人桥镇潜在地热区,也属于断裂构造型。(2)研究获得了地热水的水化学和热储层特征。温泉水水化学类型主要为HCO3-Na型,以淡水为主;地热井水水化学类型差异性较大,以微咸水为主。微量组分为偏硅酸、锂、锶、铝和硼酸盐。温泉水热储层埋深为2.94-4.30km,水循环深度为3.05-4.68km,温度在72.27-161.96℃之间;地热井水热储层埋深为3.11-3.88km,循环深度为3.16-3.97km,温度为61.84-114.46℃。(3)从地质构造、地热水的补给机制和年龄、水化学组分成因3个方面研究了地热水资源的成因作用。地热水资源的分布受北北东向、近东西向和北西向断裂构造的控制,主要的补给来源为大气降水,氚同位素年龄均大于62年。水化学组分主要由长石类矿物(钙长石、钠长石和钾长石)和辉石水解生成,并受阳离子交换作用的影响,释放规律基本符合Stanford一阶反应动力学模型。(4)综合分析了地热地质条件,查明了地热水的形成要素。地热水热源包括火山岩浆热源、上地幔传导热、地壳岩石放射性元素衰变产热和有机物降解产生的热。盖层主要为军舰山组玄武岩,果松组、长白组、林子头组的安山岩;热储层主要为奥陶系、寒武系的灰岩和珍珠门组的大理岩。(5)提出了3种不同地热水资源的成因模式,分别为火山岩浆型、沉积盆地型和断裂构造型。(1)火山岩浆型地热水资源成因模式:热源为长白山天池火山口下方往北方向约7-8km的岩浆囊,热量以热传导的方式向上运移;盖层包括白头山组的粗面岩、军舰山组的玄武岩和长白组的安山岩,厚度约1912m;热储层为火山岩断裂破碎带和辽河群大理岩,厚度780m;地热水接受大气降水的补给,经深部循环(4.00-4.56km),沿断裂带出露于地表,并在浅部发生了冷热水的混合。(2)沉积盆地型地热水成因模式:热源为上地幔传导热;盖层为军舰山组的玄武岩、果松组和长白组的安山岩、安山质凝灰岩,厚度约2400m;热储层为奥陶系和寒武系的灰岩地层,厚度1200m;地热水接受大气降水和少量封存水补给,经深部循环(3.10-3.30km),受大地热流传导热的加热,沿断裂通道向上运移,在浅部发生冷热水的混合。(3)断裂构造型地热水资源成因模式:热源为中生代晚侏罗世花岗岩中放射性元素衰变产热;盖层为军舰山组的玄武岩和果松组的安山岩,厚度约1067m;热储层为震旦系的砂岩以及奥陶系、寒武系的灰岩,厚度约1500m;地热水接受大气降水补给,经深部循环(3.00-3.50km),受中生代晚侏罗世花岗岩中放射性元素衰变产生的热量加热,与围岩发生水岩化学反应,并在浅部发生了冷热水的混合,在断裂的交汇带上或者是透水岩层和隔水岩层的接触面出露地表。",《吉林大学》,2016年,【学位授予单位】：吉林大学【学位级别】：博士【学位授予年份】：2016【分类号】：P314.1,1427.0,16.0
547,易加仁,基于Web GIS的大气环境分析预测系统研究,"Web
/
GIS
/
大气污染扩散模型
/
环境监测","近年来，由于污染物排放新标准的实施、环保税法的推进以及国家日益严格的排放控制，企业以往的环境管理手段己经无法满足需求。此外，环境污染事故频发，严重危害周围人群的健康。随着计算机技术和互联网的快速发展，利用互联网在Web上发布地理信息已成为GIS技术发展的必然趋势。

	Web GIS是GIS与Internet结合的产物，具有跨平台、易扩展、访问范围广等特点。由于具有高效处理空间地理数据的能力，Web GIS可应用于环境影响评价的信息化管理，实现实时获取监测数据，预测污染物的排放对周围环境的影响，为管理部门提供了更好的管理和决策支持。

	本文以大型国有钢铁企业为研究范例，根据百度地图GIS技术特点和预测条件分析，对大气环境污染预测方法进行深入研究，提出了基于Web GIS的大气预测算法，建立多点源高斯扩散模型计算污染物浓度，利用Web GIS坐标转换实现了GIS与预测模型的结合，选取污染源环境预测网格得到预测计算点，计算大气污染浓度分布。研究大气环境分析预测系统总体结构，对系统数据库表结构进行了详细设计，实现了实时数据监测、历史数据查询、Web GIS地图管理、报表统计分析、大气污染预测系统功能模块。系统利用百度地图API实现了大气污染预报，得到地图上污染扩散分布图，结果表明预测方法具有一定预测效果，能有效帮助相关部门制定合理环保措施。",《武汉科技大学》,2015年,【学位授予单位】：武汉科技大学【学位级别】：硕士【学位授予年份】：2015【分类号】：X823;TP311.52,634.0,10.0
548,顾吉林,典型天气大气辐射传输特性研究,"大气辐射传输
/
多次散射
/
大气透过率
/
大气程辐射","大气辐射传输特性是指电磁波在大气中传输时,大气中的粒子对电磁波吸收和散射作用,作用效果包括两方面：一方面,大气对目标自身辐射能量以及目标对太阳辐射的反射能量经过大气传输路径到达成像系统镜头前的能量衰减；另一方面,大气对太阳辐射能量单次散射和多次散射、对目标场景周围环境热辐射的多次散射、大气中粒子的自身热辐射等致使辐射传输到成像系统镜头前能量增强。辐射在大气中的能量衰减通常用大气透过率来表示,能量增强通常用大气程辐射来表示。本文以实际工程应用为背景,实时计算大气的红外传输衰减和路径辐射,从而得到去除大气干扰的、以及目标真实的辐亮度,主要开展了以下研究：
	1)通过分析大气参数、吸收截面、散射截面、辐射传输距离、频率等计算因子和大气分子消光光学厚度之间的关系,根据大气中气体的成分,研究了水汽和氮气分子连续光谱吸收光学厚度,以及二氧化碳、甲烷、臭氧、一氧化碳和一氧化二氮等分子的带光谱吸收光学厚度的计算方法。最后进行了大气分子散射光学厚度的计算。
	2)建立典型天气(霾、雾、沙尘以及雨等)条件下气溶胶粒子复折射率数据库,依据气溶胶粒子谱分布实验数据,完善了典型天气气溶胶粒子谱分布模型,结合气溶胶粒子复折射率数据库与大气能见度等大气参数,利用米散射理论计算典型天气条件下气溶胶消光光学厚度,根据光学厚度和大气透过率的关系,完善了在3～5μm波段,针对典型天气,大气传输路径中大气透过率的计算模型。通过对典型天气大气透过率仿真计算的结果表明,本文所建立的模型可以正确有效地进行霾、雾、沙尘以及雨等典型天气条件下大气透过率的计算。
	3)提出了基于高斯光束空间传输小光斑可调原理实现远距离大气透过率和大气程辐射组合验证的测量方法。通过分别测量激光器出口处的光斑和探测器接收光斑的能量分布,分析了二者光斑的能量差值,计算得到该波长经过传输距离的大气透过率和大气程辐射综合影响的结果。从远距离测量大气透过率和大气程辐射组合验证的角度出发,通过改变失调的卡塞格伦天线的主副镜之间的位置,使传输光斑半径在一定的传输距离、尺寸范围内可调,并且从实验仿真上验证了其可行性。该系统可以解决远距离测量大气透过率和大气程辐射的组合验模问题。本文以He-Ne激光器为例,设计了卡塞格伦天线的主副镜参数,使光斑半径大小在40～60mm、传输距离在10 km内范围可调。
	4)提出了典型天气大气程辐射的计算模型。以大气辐射传输理论为基础,针对光谱波长3-5微米,综合分析了光学厚度的计算方法以及倾斜路径与太阳参数对大气程辐射模型的影响,对霾、雾、沙尘和雨天建立了大气程辐射计算模型。大气程辐射模型包括大气对太阳辐射的单次和多次散射,大气对地表热辐射传输的多次散射以及传输路径的大气自身热辐射四个子模型。仿真结果验证了大气程辐射模型的正确性。
	5)本文针对典型天气对大气辐射传输特性模型进行了仿真验证,将本文大气辐射传输特性模型的参数输入和PcModWin软件参数输入保持一致,将二者的输出结果进行比较,计算出不同天气不同波数的大气透过率和大气程辐射的仿真误差,得到典型天气条件下的大气透过率的最大相对误差为3.846%,大气程辐射的最大相对误差为5.011%,能够满足一般红外探测工程上对误差的要求。",《大连海事大学》,2012年,【学位授予单位】：大连海事大学【学位级别】：博士【学位授予年份】：2012【分类号】：TN011,3006.0,42.0
549,张景伟/武鹏飞/饶瑞中,红外大气能见度:定义、算法及关键因素分析,"大气光学
/
大气能见度
/
红外系统
/
红外辐射传输","通常用大气能见度表征大气对可见光波段的视觉影响程度,但它并不适用于红外波段。鉴于大气能见度的直观特性和红外光电技术的迫切需求,参照可见光大气能见度的定义,依据红外系统对比度阈值,提出了红外大气能见度的概念。根据这里提出的定义和涉及的红外大气透射率的物理过程,分析了决定红外大气能见度的关键大气因素。一般情况下,这些因素是可见光大气能见度、水汽含量、气溶胶类型。建立了红外大气能见度与这些关键参数间的定量关系,计算了噪声等效温差(NETD)为0.05 K对应的3个大气窗口(1.06、3~5、8~12μm)的红外大气能见度。",《光学学报》,2015年11期,"【作者单位】：
                合肥工业大学仪器科学与光电工程学院;中国科学院安徽光学精密机械研究所中国科学院大气成分与光学重点实验室;  【基金】：国家自然科学基金面上项目(41475024)  【分类号】：TN211",241.0,9.0
550,曲宝晓,黄东海碳源汇的季节与区域变化特征及控制因素解析,"海气界面通量
/
二氧化碳
/
时空变化
/
控制因素","海洋作为地球表面最大的碳储库,每年可从大气吸收约1.7亿吨碳,对于维持全球碳的收支平衡,控制大气CO2的持续升高至关重要。陆架边缘海以全球海洋7%的面积,维持了30%的海洋初级生产力,是地球物质能量循环的关键组成。发生在陆架边缘海的海气界面CO2交换过程,不仅能够深刻地影响区域范围内碳的生物地球化学循环,同时对全球海洋生态系统变化也具有深远意义。本学位论文通过对黄东海海气界面CO2交换过程的系统研究,揭示了黄海、东海海洋碳源汇的时空变化特征,辨析了控制海气界面CO2交换的关键因素,获得了一系列新的结果和认识:1.黄海海气界面CO2通量具有显著的季节变化与区域差异特征。表层水pCO2含量在春季低于大气CO2含量,在夏季、秋季与冬季则皆高于大气CO2含量,近岸海域相对外海海域通常具有较高的pCO2。黄海全年总体表现为大气CO2的碳源,每年可向大气释放碳约211万吨。表层海水温度与浮游植物活动是控制黄海碳源汇变化的关键因素,其中南黄海外部开阔海域pCO2变化主要受控于表层海水温度,而近岸海域则主要受控于浮游植物作用过程。黄海表层水二氧化碳分压(pCO2)与海气碳源汇具有显著的时空分布变化特征。冬季黄海总体能够向大气释放CO2,是大气CO2的碳源,海气界面平均碳通量为2.15 mmol·m-2·d-1。冬季黄海碳源汇格局呈现明显的“南—北”差异,其中黄海南部(33~36°N,120~125°E)pCO2基本维持在大气CO2含量以下(300~390μatm),表现为大气CO2的碳汇;而黄海北部(36~38.5°N,122~124.5°E)pCO2则高于大气CO2含量(400~600μatm),表现为明显的碳源。春季是黄海全年唯一能够吸收大气CO2的季节,2011年4月与2013年6月所获得的海气平均碳通量分别为-3.38和-2.87 mmol·m-2·d-1。从区域分布上来看,春季黄海表层pCO2及海气界面CO2交换通量具有明显的“近岸—外海”差异。50 m等深线以浅的江苏近岸及黄海南部具有较高的pCO2含量(380~580μatm),表现为大气co2的碳源;而50m等深线以深的黄海中部海域则具有相对较低的pco2含量(300~340μatm),表现为大气co2的碳汇。夏季黄海总体表现为大气co2的弱源,碳源汇特性不仅具有显著的区域差异,还存在明显的年际变化。2012年7月,2011年8月与2013年8月所获得的海气界面co2通量分别为1.64,1.94和-1.21mmol·m-2·d-1。以34°n,122°e为中心的江苏沿岸海域能够强烈地向大气释放co2(6~18mmol·m-2·d-1),是决定夏季整个黄海碳源汇性质的关键区域。夏季黄海能够吸收大气co2的碳汇区则局限在东南部的有限区域内,对整个黄海的碳源汇性质影响较小,海气界面co2交换通量的变化范围为-4~-14mmol·m-2·d-1。秋季黄海表层pco2及碳源汇的分布格局与春季十分类似,即以50m等深线为界,等深线以浅的黄海西部近岸区具备较高的pco2含量(350~420μatm),表现为大气co2的碳源,而等深线以深的黄海中部外海区则具备较低的pco2含量(350~370μatm),是大气co2的碳汇。与春季不同的是,秋季黄海总体表现为大气co2的强源,具有四个季节中最高的海气界面co2交换通量(6.43mmol·m-2·d-1)。表层海水温度、浮游植物活动、水体混合作用、黄海冷水团等因素是控制黄海海气界面co2交换控制过程的关键因素。对比研究表明,浮游植物活动与水体混合作用等非温度因素是控制黄海近岸海域(水深50m)海气co2交换通量的主导因素,而表层温度变化则是控制黄海外部开阔海域(水深50m)碳通量的首要因素。2.东海在春季、夏季皆表现为大气co2的碳汇,海气界面co2交换通量分别为-9.34和-5.49mmol·m-2·d-1,两个季节共可吸收碳约160万吨,占东海全年碳汇总量的三分之一。东海碳源汇格局的区域差异明显,近岸的长江河口区多表现为向大气释放co2的碳源,而外海的东海陆架区则多表现为吸收大气co2的碳汇。浮游植物生产、水体交换混合与长江径流输入是控制东海海气co2交换的主要因素,且这些因素具有明显的季节与区域差异。东海在春季(4月)总体表现为大气co2的强汇,其海气界面co2交换通量为-9.34mmol·m-2·d-1。能够吸收大气co2的碳汇主要位于长江口外部及50m等深线以深的东海中部海域,尤其以长江口外部海域最为显著,而能够释放co2的碳源则出现在东海东北部及浙江沿岸。初夏季节(6月)东海表现为中等强度的碳汇,海气CO2通量相比春季(4月)有所降低,其平均值为-6.37 mmol·m-2·d-1。东海夏季碳源汇分布相较于春季存在较大的不同,例如,长江口外部海域在4月表现为大气的碳汇,到了6月该海域则变成碳源。浙江沿岸海域在4月具备较高的pCO2含量,是大气CO2的强源,到了6月份,该海域反而具备较低的pCO2,成为大气CO2的碳汇。在盛夏季节(7、8月),东海依旧能够表现为大气CO2的碳汇,海气CO2通量平均值维持在-4.62 mmol·m-2·d-1左右。盛夏季节东海碳源汇的分布格局在不同年份体现出了较为明显的差异特征。在2011年8月,东海能够向大气释放CO2的碳源区基本存在于30°N以北,123°E以西的长江口外部和26~28°N范围内的东海南部,能够吸收大气CO2的碳汇区则位于东海中部海域。但一年之后的2012年7月,东海南部的碳源区相较2011年扩大到了30°N附近,而长江口外部的碳源区则缩小至122.5°E以西,碳汇区的面积相比2011年也有所减小,主要集中在29°N以北的海域。浮游植物通过“生物泵”效应所造成对大气CO2的吸收作用,是影响东海春季、夏季海气CO2交换过程的首要因素,这一点可通过春季(2011年4月)整个东海与初夏(2012年6月)东海内陆架区海域表层pCO2与叶绿素(Chl a)的显著负相关关系得到印证。水体交换混合与长江径流输入则是影响东海春季、夏季海气CO2交换过程的另外两个重要因素。这两者一方面可直接通过无机碳的输送造成水体pCO2显著升高,另一方面还可通过影响营养盐水平控制浮游植物生产活动,从而间接对海气CO2交换过程施加作用。长江口海域仅在夏季表现为大气CO2的碳汇,表层水体pCO2平均值为320μatm,在春季、秋季、冬季皆表现为碳源,pCO2平均值分别为429、611、605μatm。长江口海域碳源汇分布与表层碳酸钙饱和度密切相关,在pCO2较低的碳汇区,碳酸钙饱和度相应较高,而在pCO2较高的碳源区,碳酸钙饱和度相对较低,秋冬季甚至出现了不饱和现象,说明长江口海域存在海水酸化的潜在风险。",《中国科学院研究生院(海洋研究所)》,2015年,【学位授予单位】：中国科学院研究生院(海洋研究所)【学位级别】：博士【学位授予年份】：2015【分类号】：P734,490.0,8.0
551,王志芳/张海滨,新常态下中国在东北亚大气污染环境合作中的策略选择,"新常态
/
东北亚
/
大气污染
/
环境合作","东北亚地区大气跨界污染,随着中国雾霾的广受关注,而逐渐成为该地区环境合作的核心议题。东北亚是中国核心的外交战略区,它的稳定对中国的和平发展至关重要。随着中国的崛起,周边国家由政治安全的担心产生的紧张情绪进一步强化。大气(雾霾)污染事件的出现,为各国释放政治紧张情绪找到了一个出口。而东北亚大气环境合作,能否真正促进区域大气环境的改善,并起到政治关系减震器的作用,还在于中国如何做出相应的策略选择。鉴于中国发展进入新阶段,外交领域提出了""积极进取、更有作为""的""新常态""观,环保工作也进入了理念、道路创新的新常态阶段,对外环境合作的思路也需要随着国际国内的形势变化而及时调整。结合自身大气污染治理的需求和决心,建议中国在如下方面强化东北亚环境合作:强化中日韩三国环境部长会议(TEMM)、东北亚次区域环境合作项目(NEASPEC)等核心机制的作用,加强中日韩等主导国间的合作关系,倡导合作机制的集体领导理念,推动专家互动以补充官方交流不足,谨慎看待多元治理在区域合作中的作用,积极推动大气污染治理的产业合作。",《东北亚论坛》,2015年03期,"【作者单位】：
                北京大学国际关系学院;  【基金】：国家科技支撑计划课题(2012BAC20B06)  【分类号】：X51",730.0,6.0
552,曾静/王美娥/张红星,北京市夏秋季大气PM_(2.5)浓度与气象要素的相关性,"PM2.5
/
气象要素
/
夏秋季
/
预测","基于北京市城市生态系统研究站2008、2009年7月1日—10月31日大气PM2.5浓度及气温、相对湿度、风速、水汽压、大气压和风向等6类气象要素资料,分析北京市夏秋季大气PM2.5浓度与气象要素的相关性.结果表明:在所分析的18周内,PM2.5浓度在每周内的变化幅度较小.PM2.5周平均浓度大致呈现出每6周为一个变化周期.其中,后6周最高、前6周次之、中间6周最低.PM2.5周平均浓度与6种气象要素存在不同程度的相关关系,其中与水汽压的相关性最强,可通过水汽压预测北京市7月和8月的PM2.5周平均浓度.研究结果可为分析和控制北京市大气PM2.5污染源提供重要的科学依据.",《应用生态学报》,2014年09期,"【作者单位】：
                中国科学院亚热带农业生态过程重点实验室;中国科学院生态环境研究中心城市与区域生态国家重点实验室;  【基金】：国家自然科学基金重点项目(41030744)资助  【分类号】：X513",889.0,46.0
553,熊天琦,山东省燃煤电厂大气污染现状与减排潜力研究,"燃煤电厂
/
排放清单
/
环境影响
/
情景分析","山东省规模庞大的电煤消费量和以燃煤火电为主的电源结构引发出严重的区域大气污染问题。对全省燃煤电厂展开大气污染物排放清单编制及环境影响量化研究,有助于准确掌握其排放特征和制定有效的控污政策。本文依据山东省发电机组活动水平数据和最新开发的排放因子建立了2002和2012年山东省燃煤电厂多种大气污染物的高分辨率排放清单;运用情景分析法对2020、2025和2030年山东省燃煤电厂的大气污染减排潜力进行了分析;采用本土化影响评价模型对山东省燃煤电厂大气污染物排放造成的环境影响进行了评估。本文的主要研究内容如下:在清单建立过程中,本文综合考虑了山东省煤炭品质、机组容量和控污技术等因素的影响,对2002和2012年全省燃煤电厂大气污染物的排放量进行估算。结果显示,2012年二氧化硫(SO_2)和总悬浮颗粒物(TSP)的排放水平相较于2002年分别下降了37.15%和13.54%,而氮氧化物(NO_x)的排放水平上升了135.22%,其排放量已超越SO_2,成为燃煤电厂大气污染物控制的新挑战;尽管采取了严格的污染控制技术,但是由于发电规模的不断增加,细颗粒物(PM2.5)、汞(Hg)、二氧化碳(CO_2)、甲烷(CH_4)和氧化亚氮(N_2O)、一氧化碳(CO)、非甲烷挥发性有机物(NMVOCs)及氨(NH_3)的排放水平近十年来均呈现出一定的增长趋势;从发电机组贡献来看,30万千瓦以下的中小型机组是燃煤电厂大气污染的主要贡献机组类型;从地市贡献来看,济宁、德州和聊城等是主要排放贡献地市;从空间分布来看,鲁西地区的排放强度和密度均较大,东部沿海地区的部分点源的排放强度也较大;从时间特征来看,下半年的排放水平略高于上半年,工作日的排放水平高于周末,一天中9点至17点的排放水平保持较高。与同类清单相比,本文构建的排放清单所覆盖的大气污染物种类更为齐全,由于排放因子及机组信息更为详细,文中相关估算结果略高于官方统计值,但可信度更高;从不确定性评价来看,由于所掌握的10万千瓦及以上机组的基础信息较为完善,故其排放清单的不确定性明显优于不足10万千瓦的机组。为了确定未来山东省燃煤电厂大气污染控制的重点,论文以2012年为基准年,构建基准情景BAU、最佳可用控制技术情景BACT和高效控制技术情景HECT对山东省燃煤电厂的减排潜力进行预测。从主要大气污染物排放水平来看,SO2的减排潜力在BACT情景下已十分有限,到2030年在HECT情景下通过提高脱硫设备效率SO2的减排率可达60%左右;NOx的减排潜力仍较大,到2030年HECT情景下NOx的减排率可达80%左右;2030年PM2.5和Hg最大可获得的减排率分别为50%和60%左右,仍低于TSP的减排率(77%);NH3的未来排放水平受脱硝设备发展的影响,其2030年HECT情景下的排放量将为基准年的12倍。基于影响评价模型的山东燃煤电厂大气污染物排放环境影响评价结果表明:山东省燃煤电厂大气污染物排放的总加权环境影响潜值从2002年的2.9060×10~(-3)下降到2012年的2.7896×10~(-3),其中酸化和烟尘及粉尘的环境影响潜值的下降幅度最大,分别达到了68%和70%;从机组贡献来看,10~(-3)0万千瓦的中型机组的加权环境影响潜值最高,其后依次为不足10万千瓦的小型机组和30万千瓦及以上的大型机组;从未来发展趋势来看,2030年HECT情景下酸化、富营养化和烟尘及粉尘均将有所下降,但光化学烟雾的贡献率持续上升,居高不下。",《济南大学》,2016年,【学位授予单位】：济南大学【学位级别】：硕士【学位授予年份】：2016【分类号】：X773,584.0,7.0
554,苏霄,典型铝合金在模拟海洋大气环境中腐蚀规律研究,"1050A铝合金
/
干湿周期浸润
/
盐雾
/
大气腐蚀","本文选取1050A铝合金为研究对象，采用干湿周期浸润实验方法和盐雾腐蚀实验方法，研究了1050A铝合金在室内模拟海洋大气环境实验中腐蚀行为及机理。应用失重法等测试手段和电化学交流阻抗谱、极化曲线等电化学测试技术，观察并分析了1050A铝合金腐蚀的动力学规律、腐蚀产物表面形貌、腐蚀产物结构、电化学规律等。

	研究结果表明：在室内干湿周期浸润实验中，1050A铝合金腐蚀，腐蚀产物不断增多，腐蚀主要以点蚀为主；1050A铝合金表面沉积NaCl后，由于氯离子的浸蚀破坏作用加速了1050A铝合金的腐蚀过程。失重与腐蚀时间的关系符合幂指数规律（C=Atn），阻抗随时间的延长呈逐渐降低趋势。腐蚀产物形貌主要以不规则的团状和块状形式存在，腐蚀产物主要有铝的氯化物、Al2O3、Al(OH)3和AlO(OH)，并不断向外延伸扩大，呈现不均匀的凹凸形貌；采用扫描电子显微镜观察了试样腐蚀后的形貌。

	在室内盐雾实验中，1050A铝合金在实验初期主要以点蚀为主，点蚀首先在铝合金中的第二相粒子附近发生，氯离子的存在促进了点蚀的发生，结果显示产物形貌的状态以块和团的形式出现，能够变大且相互连通，微观形貌也表现为凹凸不平；腐蚀产物主要有Al2O3、Al(OH)3和AlO(OH)等。失重与腐蚀时间的关系符合幂指数规律（C=Atn），电化学阻抗模值阻抗随时间的延长总体呈下降趋势。",《河北工程大学》,2013年,【学位授予单位】：河北工程大学【学位级别】：硕士【学位授予年份】：2013【分类号】：TG172;TG146.21,888.0,7.0
555,朱红亚,多源气体泄漏扩散的实验及数值模拟研究,"多源气体泄漏
/
射流
/
扩散
/
实验","随着现代石油化工行业的快速发展,在生产、使用、运输、贮存过程中存在大量易燃易爆、有毒有害气体,重大事故性泄漏频繁发生,造成了巨大的人员伤亡、经济损失和环境破坏。因此气体泄漏扩散问题始终是国内外学者关心和研究的焦点,具有重要的现实意义。

	然而,前人的研究多集中在单源泄漏扩散问题,而对于多源泄漏扩散的研究存在着严重的缺失。而恰恰在实际中多源气体泄漏却时有发生,如当遭受意外事故或破坏性自然灾害时都有可能导致多源气体泄漏。因此本文针对多源气体泄漏扩散问题进行研究,旨在揭示多源气体泄漏扩散的流动特性及其演变规律,预测它的时间空间分布特性,从而为应急救援和疏散决策制定提供有力的理论指导。

	本文较系统地从多源气体泄漏扩散的近场区域和远场区域两个方面分别展开研究。对于近场区域,基于相似性定理建立了小尺寸实验系统,以氦气和二氧化碳气体分别作为轻气和重气的典型代表,应用纹影和高速摄像系统对单源和多源轻气、重气射流在静滞自由空间中的流动开展了实验研究,从而揭示了流场的基本特性。同时,结合小尺寸实验建立了相应的物理模型,通过k-ε湍流定常模拟和大涡模拟的方法对单源和多源轻气、重气射流随时间演变的动力学过程,多源间相互作用的内在机理等进行了数值模拟和理论分析。此外,通过实验、数值模拟和理论分析方法三者相结合揭示了泄漏速率、泄漏角度、泄漏源间距以及泄漏源数目等若干因素的影响机制。

	对于远场区域,在现有气体扩散模型的基础上,修正并建立了多源气体扩散模型,主要通过数值模拟计算的方法对多源气体泄漏扩散后的浓度随时间空间的分布特性及其事故后果进行了预测。

	在轻气扩散模型中,以应用最为广泛的高斯模型为基础,针对高斯模型中的不足,通过引入Briggs的羽流上升模型和地面粗糙度的定义对其进行了修正。应用修正的高斯模型模拟预测了单源轻气连续泄漏和瞬时泄漏扩散浓度随时间空间的分布情况,结合气体毒性标准给出了不同毒性水平下的影响区域范围,下风向、侧风向的最大影响距离及固定位置处浓度随时间的变化情况等。基于修正的高斯模型发展建立了多源轻气扩散模型,实现了对多源轻气泄漏扩散的模拟计算。同时通过因素影响分析和因素显著性分析还揭示了轻气泄漏扩散中各因素的影响规律和重要性。

	在重气扩散模型中,通过有效性验证和统计学分析方法选择合适的重气扩散模型。在将SLAB模型的模拟预测结果与现场试验、其它重气模型以及真实事故案例中的结果进行对比后,研究发现SLAB模型具有高度准确性和可靠性。因此对SLAB模型展开了深入研究,揭示了重气扩散中的影响因素及规律,同时在SLAB模型的基础上发展了多源重气扩散模型,实现了对多源重气泄漏扩散的模拟计算。",《中国科学技术大学》,2013年,【学位授予单位】：中国科学技术大学【学位级别】：博士【学位授予年份】：2013【分类号】：X937,2517.0,26.0
