,作者,文章名称,关键词,摘要,发表位置,时间,单位或其他,下载量,被引量
373,王睿,四种报春花的引种与驯化,报春花/引种驯化,"本研究主要是对秦岭的四种野生报春(胭脂花Primula maximowiczii、陕西报春Primula handeliana、紫罗兰报春Primula purdomii、苣叶报春Primula sonchifolia)的引种驯化研究。将采自秦岭野生状态下的四种报春花植株,通过在温室栽培条件下整个生长过程的试验观察,筛选最佳引种条件,得出结果如下:(1)四种的报春花在温室栽培条件下都表现出良好的适应性,其中胭脂花、陕西报春和苣叶报春引种成活率最高,均为100%;紫罗兰报春引种成活率较其他三种低,但在泥炭土培养土和混合土培养土中引种成活率也高达80%,仅在园土培养土中成活率为40%。(2)四种报春花三种栽培土(园土、混合土和泥炭土)中进行引种试验发现:虽然胭脂花、陕西报春和苣叶报春在三种培养土中引种成活率都为100%,但紫罗兰报春在泥炭土和混合土中引种成活率较高,园土中较低;在泥炭土培养土中生长势最强,混合土培养土中次之,园土培养土中生长势最弱;分析胭脂花、陕西报春和苣叶报春的开花率可知在泥炭土培养土中开花率最高,混合土次之,园土最低。所以,四种报春花引种最适合的栽培土为泥炭土栽培土。(3)胭脂花、陕西报春和苣叶报春在引种试验期间均完成了一个生活周期,包括生长、开花、结实和休眠等各个生长阶段;紫罗兰报春在引种试验期间完成了生长和休眠这两个个生长阶段,在周期内没有开花结实。(4)虽然四种报春的开花时间不同(紫罗兰报春除外),但所有报春花(紫罗兰报春除外)都能在温室条件下自然开花,与野生报春相比引种的报春花花期提前4~5个月。",《西北农林科技大学》,"
2016年",【学位授予单位】：西北农林科技大学【学位级别】：硕士【学位授予年份】：2016【分类号】：S682.15,399,2
374,李忠辑,不同肥力水平水稻土氧化铁形态和土壤有机碳组分状况分析,水稻土/肥力/产量/氧化铁形态,"水稻是我国重要的粮食作物,水稻土因为其水旱交替的特殊土壤状况,拥有巨大的固碳潜力,土壤有机碳及其形态反映了土壤肥力水平的高低。土壤有机碳含量受到土壤环境因素的重要影响,其中土壤铁含量及其组分变化对有机碳组分变化的影响是水稻土有机碳稳定性的决定性因素。本研究以三种典型稻区(东北平原盐渍区、南方河网平原双季稻区和西南山地丘陵区)的六个省份七个地区(辽宁省大洼县、辽宁省辽中区、吉林省、四川省、贵州省、江西省和湖南省)水稻土为研究对象,采集了高肥力、中肥力和低肥力水平水稻土,测定土壤氧化铁形态及土壤有机碳组分,分析了不同肥力水平水稻土铁形态和有机碳组分的变化状况,得出了具体以下几点结论:1.供试三个区域六省份的高、中、低肥力水稻土游离铁含量大致呈现由南到北递减趋势。南方四省份水稻土游离铁含量呈现中肥力田高肥力田低肥力田的趋势;在东北地区,辽宁省大洼县和辽中区水稻土游离铁含量普遍高于吉林省。所有水稻土无定形铁和全铁含量均呈高肥力中肥力低肥力的趋势。高肥力水平上,辽宁省大洼县水稻土络合铁含量显著低于其他地区;中肥力水平,贵州省水稻土络合态含量显著低于其他地区;低肥力水平上,吉林省水稻土络合态含量显著低于其他地区。吉林省水稻土各形态氧化铁含量均显著低于其他省份,这是由于吉林地理位置纬度高,气候寒冷。2.除四川省以外,各省份各区域高肥力水稻土可溶性有机碳含量明显高于低肥力土壤。所有省份水稻土微生物量碳含量在高、中、低肥力上均呈递减趋势,高肥力土壤微生物量碳含量显著高于低肥力土壤。所有省份高、中、低肥力水稻土活性有机碳含量差异明显,随肥力水平降低而呈现递减趋势,辽宁省大洼县高肥力水稻土活性有机碳含量显著高于其它省份和区域。各省份水稻土有机碳含量差异显著,随土壤肥力水平降低也呈递减规律。高肥力水平土壤有机碳含量明显高于中、低肥力水平土壤。3.在三个不同区域土壤中,东北平原盐渍区不同肥力水平水稻土游离铁和无定形铁含量与土壤活性有机碳含量呈显著正相关关系,而络合铁与土壤可溶性有机碳呈极显著正相关关系。南方河网平原区土壤络合铁含量与土壤活性有机碳、可溶性有机碳和微生物量碳含量呈极显著或者显著正相关。西南低山丘陵区土壤游离铁与可溶性有机碳呈显著正相关关系。4.高肥力水稻土可溶性有机碳与游离铁和全铁间均呈显著正相关。中等肥力水稻土氧化铁形态与有机碳各组分均未呈现相关性。低肥力土壤无定形铁含量与土壤可溶性有机碳含量呈显著正相关。综上所述,不同肥力水平水稻土铁和碳形态差异表现为:中、高肥力水稻土游离铁、无定形铁、可溶性有机碳、微生物量碳、活性有机碳以及全量有机碳含量均高于低肥力土壤,且游离铁含量与可溶性有机碳呈显著正相关关系;而低肥力土壤无定形铁含量与可溶性有机碳呈显著正相关关系。该结果为了解我国不同区域不同肥力水平水稻土氧化铁和有机碳状况及其形态转化提供理论参考和数据支持。",《沈阳农业大学》,"
2018年",【学位授予单位】：沈阳农业大学【学位级别】：硕士【学位授予年份】：2018【分类号】：S511;S153.6,143,1
375,马玉新/史风梅/袁家淼,水-土环境有机污染表面活性剂增效修复技术,现场修复/NAPLs/表面活性剂/土壤和地下水修复,"加入表面活性剂溶液可以增溶土壤中的污染物,提高其流动性和去除效率,并缩短处理时间。表面活性剂的应用受到现场条件的制约,现场应用时要考虑其增溶效果和界面张力的降低。表面活性剂与其它修复技术联合应用进行增效修复,可应用于现场(insitu)修复和现场外(ex situ)修复。表面活性剂可用于促进大范围污染物的去除,已应用于PCE,BTEX化合物,VOCs,SVOCs,PCBs及氯化溶剂的去除和现场修复。处理后,废液中的表面活性剂可回收利用。生物表面活性剂在地下水和土壤增效修复中具有较大的应用潜力。",《青岛大学学报(工程技术版)》,"
2005年04期","【作者单位】：
                哈尔滨工业大学市政环境工程学院  青岛大学环境科学与工程系  青岛大学环境科学与工程系  【基金】：国家自然科学基金资助项目(40272108)  【分类号】：X53",341,8
376,李渝,四川盆地成土速率及其调控,四川盆地/模型估算/成土速率/人为成土过程,"


	土壤是在漫长的地质年代里，在物理、化学和生物作用下由基岩风化产物、各种松散沉积物(成土母质)发育形成的近地表自然介质。由于生物、气候、地形、时间和人类活动等多种外界因素对母质风化作用和土壤形成速率的综合作用，导致土壤形成年龄相差很大。为此要定量探讨时间对土壤形成和发育的影响，即建立成土速率模型，是一个看似简单而实际上极为复杂的问题。近年来，国外内不少学者将模型研究引入成土过程，通过模型方法定量研究成士过程，使成土速率研究的准确性大为提高。但在模型估算时需结合各种土壤形成的条件和自然环境特征、生产力水平，因此在测定时需要进行较多的校正。土壤中的基盐阳离子消失和快速补充使得对其成土速率的研究存在很大的不确定性。过去的研究大多从自然条件下描述其成土过程，而人为作用对成土过程的影响却一直被忽视。本文采用质量平衡法、PROFILE模型法和Barth模型法对四川盆地紫色母岩上发育形成的紫色土成土速率进行估算，选取一种适合紫色土成土过程的模型方法。同时通过田间试验，研究人为扰动条件下成土元素含量及其分布特征，并结合成土速率模型分析人为扰动对成土速度及其分类学特征的影响。主要研究结果如下：


	(1)三种成土模型方法对外界环境条件的变化较为敏感。质量平衡法估算出的紫色土成土速率为0．2115 keq ha~(-1) a~(-1)；PROFILE模型法估算成土速率为0．1815 keq ha~(-1) a~(-1)：Barth模型法估算成士速率为2409．75t km~(-2) a~(-1)。三种模型方法在对蓬莱镇组、遂宁组和沙溪庙组三种紫色母岩成土速率的估算结果吻合程度较好，而在对自流井组和夹关组紫色母质的估算过程中出现了一定的差异，这是由于研究区样点的选择与母岩的成土环境存在着较大的变异。PROFILE模型计算的土壤风化成土速率存在很大的不确定性，只能用于土壤个体的研究，尚不具备大规模使用的条件。Barth模型法在估算时需结合各种土壤形成的条件和自然环境特征、生产力水平，同时需要进行较多的校正。质量平衡法在估算成土速率时，受外界环境条件的变化影响较小，在四川盆地温暖潮湿条件下较为适用。


	(2)土壤性质与成土母岩的元素组成关系紧密。三峡库区土壤中K、Ca、Mg、Fe等元素分布均受母岩继承性影响．母岩元素含量的差异导致土壤中养分元素含量的差异。母岩元素平均含量顺序为：SiAlFeKMgCaNa，其中Fe、Ca、Mg、Na、K高于中国和世界元素背景值，而Al介于中国和世界元素背景值之间，Si的平均含量则低于背景值；灰岩区上的土壤中，Ca、Mg、K元素最高，砂岩母质区的土壤风化素含量较低；而碎屑岩类中，泥岩区土壤风化元素相对较高，粉砂岩区土壤风化元素含量介于泥岩与砂岩区之间；母岩的淋失强度为CaMgAlSiKFeNa，Na元素的迁移程度小，是由于母岩中Na元素对土壤的不断补充。因此以土壤中风化元素含量为基础计算的风化指标，难以反映亚热带温暖潮湿地区的成土风化过程，常用的土壤分子硅铝率和硅铁铝率也不能指示所有土壤的风化成土作用程度，只适用于判断风化初期或成土作用早期。


	(3)经过客土翻耕后土壤Ca、Fe迁移较大，物理结构变化导致母岩风化破碎和成土速度加快。土壤经过覆土翻耕后，成土速率均得到提高。成土元素平均含量顺序为：SiO_2Al_2O_3Fe_2O_3K_2OMgONa_2OCaO。与三峡库区土壤背景值比较，其Ca含量明显较低。这主要是由于土壤为侏罗系沙溪庙组和蓬莱镇组岩层坡残积物上发育而成，其淋湿程度较强。而Fe的含量经过覆土翻耕后，其迁移程度较为明显。这表明，客土后土壤物理性状的改变主要导致铁的淋溶流失加剧。同时，土壤淋溶系数与成土速率有着较好的相关性。经过客土后，土壤的密度和容重有一定程度的降低，孔隙度和吸水率较之客土前有所提高。沙溪庙母岩经客土后其5mm和2mm的颗粒含量分别增加了5．70％和10．99％。而蓬莱镇母岩则表现更为明显，其5mm和2mm的颗粒含量分别增加了29．80％和11．19％。原有耕地表面覆盖了一层10cm厚疏松的表土，其水热条件发生了变化，有利于土壤水分的入渗，对土壤水分的补充有促进作用。此外，进行翻耕后，土壤结构的一体化得到了很好的保持，这对土壤水分的蒸发有着决定性的作用。因此我们可以看出，经过人为扰动后，土层厚度增加,土壤的水热条件得到改善，加速成土过程就是顺理成章的了。


	在发生学和诊断学两大传统土壤分类体系中，均没有详细的人为土描述。而对人为土的研究多是人为耕作、施肥、灌溉等措施对土壤性质的影响。而随着人为作用对土壤的影响越来越大，对如工业污染土、疏浚城市河道的冲填土等人为土的研究还很薄弱。因此十分有必要对人为土进行定义，以提高人为土的研究水平，为人为土的评价、工程利用、环境整治提供科学依据，为人类社会的可持续发展做出贡献。",《西南大学》,"
2008年",【学位授予单位】：西南大学【学位级别】：硕士【学位授予年份】：2008【分类号】：S151,247,2
377,孙雪,不同景观部位土壤铁锰新生体的形态、组成及形成环境研究,不同景观部位/土壤铁锰新生体/形态分布/土壤地球化学,"土壤铁锰新生体作为土壤的重要组成部分,其形态、结构、组成成分等是成土过程的产物,也是成土时间和环境变迁的反映。目前,对铁锰结核、铁锰胶膜的研究较多,研究认为铁锰结核是在地下水位变化条件下形成的,主要出现在低平原、洼地、河流两岸、湖泊周围。而在沈阳高平地上也存在铁锰结核,对于其形成原因目前说法不一。本文以不同景观部位的土壤剖面为研究对象,在辽宁省沈阳市东陵天柱山、秀水河以及营口市水源等地采集3个不同景观部位的序列样品,综合运用土壤形态学、土壤地球化学、土壤矿物学的方法和技术手段,研究土壤铁锰新生体的分布、形态和地球化学元素等特征,探讨土壤铁锰新生体的形成环境与形成机制,为深入认识土壤铁锰新生体的分布规律、形成机制和环境学意义提供科学依据。研究结果表明:(1)不同景观部位出现不同类型的土壤铁锰新生体。管状铁锰新生体出现在河流边缘、湖泊边缘的地势低洼部位,该地区地下水位浅,甚至有季节性水面存在,生长有芦苇菖蒲等水生植物。随着地势的升高,植被类型的变化,无管状铁锰新生体,但出现铁锰结核。结核状铁锰新生体出现在低平地、高平地及其它们之间的坡面等不同景观部位,低平地地下水位较浅,生长着湿生植被,坡面及高平地地下水位较深,植被以中生植物为主,目前多开垦为农田。研究结果进一步表明,高平地景观部位下土壤铁锰结核出现的数量最多,为42.34g/kg;其次是坡脚,而坡中部铁锰结核数量最少,为13.69g/kg。(2)水源和秀水河序列土壤中大量元素的含量顺序为SiO_2Al_2O_3K_2OFe_2O_3CaONa_2OMgOTiO_2MnOP_2O_5,随着地势的升高,SiO_2的含量增加,Fe_2O_3和Al_2O_3的含量降低,MnO无明显变化;两个序列的管状铁锰新生体的形状规则,全量化学元素组成与铁锰结核相似,以SiO_2、Al_2O_3和Fe_2O_3为主符合风化壳组成的基本规律;矿物以石英和长石为主;游离铁主要以晶质铁为主,不同形态铁氧化物含量均高于土壤;锰氧化物主要以游离锰为主,游离锰主要以晶质氧化物形式存在,锰的游离度大于铁的游离度,锰的活化度小于土壤。(3)不同形态铁锰新生体的形成均受制于土壤的水分状况(营造不同的土壤中的氧化还原条件)。沈阳地区的高平地地下水位较深,早春的冻融交替在土体中形成不透水层(上层滞水层),为土壤铁锰结核的形成创造了氧化还原交替的环境。低平地土壤除受早春冻融交替影响外,还有地下水的作用,受不同季节地下水位升降变化的影响,土壤氧化还原交替进行,有利于铁锰结核的形成。低洼景观下地表积水,土壤处于渍水还原条件,然而,生长的水生植物根系泌氧作用使根系周围形成氧化环境,大量的铁锰氧化物淀积在根系周围的石英、长石等矿物表面,根系死亡后腐烂消失,而在其周围形成中空的棕色管状铁锰新生体保留在土体之中。管状铁锰新生体可以反映环境变化,能够用于解译古环境。",《沈阳农业大学》,"
2018年",【学位授予单位】：沈阳农业大学【学位级别】：硕士【学位授予年份】：2018【分类号】：S153,51,0
378,谢延玲/宋健/,陕北神府地区晚更新世黄土微结构特征分析,黄土微结构/显微特征/古土壤/晚更新世,"以陕北神府地区二郎山和清凉山晚更新世以来黄土剖面为例,应用粒度分析和扫描电子显微镜对陕北地区晚更新世黄土的微结构进行分析研究,探讨黄土微结构特征与其形成环境的关系。分析结果表明粒度小于0.005 mm的粘粒级含量在黄土与古土壤中差异最大,S1古土壤达30.4%,而L1黄土为24.7%;S1古土壤中大量出现铁质粘粒胶膜并呈流胶状,结构密实;L1黄土粘粒胶结物含量较少,土质疏松;陕北地区晚更新世S1古土壤形成于湿热的森林环境,L1黄土形成于凉偏湿的草原环境,S0黑垆土形成于暖湿的气候环境。",《地下水》,"
2015年03期","【作者单位】：
                西安煤航卫星数据应用有限公司;西安煤航信息产业有限公司管网工程院;  【分类号】：S151.9",74,0
379,高倩,桂西南岩溶地区植物群落结构特征与景观恢复,桂西南/岩溶/景观质量评价/景观优化,"岩溶地貌植被景观结构具有复杂多样性,景观内涵具有丰富多彩性,以及生态环境具有自然纯朴性,因此可以促进生态旅游、观光旅游、休闲旅游等多种休闲娱乐活动。桂西南岩溶地貌具有一定的特色,不仅是有富有极强吸引力的观光旅游风景区域,其本身具有较高的科研价值。

	由于人类对岩溶地区资源的大规模不合理开发及利用,导致这些区域内植被的生长发育脆弱及植物群落衰退,造成了群落景观出现恶化现象,产生一系列生态后果,所以我们通过对桂西南岩溶地区典型植被群落调查分析和综合评价基础上,建立合理的景观质量评价体系,进行植被景观优化设计,并通过植物群落结构优化措施,提升景观整体质量。结果如下：

	(1)在桂西南调查的32个典型样地中,共有444种维管束植物,归类为105科290属,其中蕨类植物16科21属40种,裸子植物3科3属3种,被子植物75科226属349种。

	(2)桂西南岩溶地区森林群落受人类活动影响导致其大多数处于严重破损状态。唯有在村庄后山、封山较长的育林区及自然保护区可见到原生性较强的森林群落。植被类型以热带季雨林为主,也有少量的亚热带常绿阔叶林。其植物具有典型的热带性及岩溶植物区系本身所独有的特点,同时也具备由热带向亚热带过渡的特点。物种组成上以椴树科、大戟科、桑科、榆科、禾木科、蝶形花科等居多。

	(3)选取景观美感度(X1),植物组成结构(X2),植物层次结构(X3),主环境质量(X4),土环境质量(X5),生物环境(X6),社会效益(X7),经济效益(X8)为主要评价指标,建立了桂西南植被景观(Y)评价体系。经统计分析,得出模型方程：Y=0.63631+2.7654X,+0.34753X2+0.38311X3-0.00186X4+1.68765X5+1.6546X6+2.8766X7+1.7655X8; R=0.8976。

	(4)提出了桂西南植物景观优化措施。包括：加强不同演替阶段动态监测；生态修复工程；采取封山育林改变林内生境,促进生态系统恢复；通过林分改造,保持生态系统的多样化：运用透光抚育,促进生态系统的演替。",《中南林业科技大学》,"
2013年",【学位授予单位】：中南林业科技大学【学位级别】：硕士【学位授予年份】：2013【分类号】：Q948.1,257,0
380,黄凰/秦颍/孙升/王先福/陈千万/韩楚文/陈明辉,利用同墓葬出土泥芯、陶器示踪青铜器铸造地初探——以湖北襄樊部分东周墓为例,泥芯/陶器/青铜器/铸造地,"为研究出土墓葬青铜器铸造地,利用X射线荧光光谱法对湖北襄樊的余岗、沈岗、团山、陈坡四处墓地出土的部分青铜器泥芯、陶片进行测试分析,试验结果与山西侯马、武汉盘龙城遗址进行比较分析。对比研究显示,襄樊地区泥芯与当地墓土、陶片在常量元素上具有高度一致性,而与黄河流域的侯马和长江中下游的盘龙城有明显区别,说明襄樊地区这部分铜器应为本地铸造,暗示江汉流域存在自己特有文化。本项研究工作首次尝试利用同墓葬陶器化学成分探索青铜器铸造地,是泥芯研究青铜器铸造地的重要补充,泥芯和陶器相互配合,为青铜器铸造地研究提供了一种新思路。",《文物保护与考古科学》,"
2010年03期","【作者单位】：
                中国科学技术大学科技史与科技考古系;湖北省襄樊市文物考古研究所;湖北省文物考古研究所;湖北省襄樊四中;  【基金】：中国科学院知识创新工程资助(KJCX3.SYW.N12)  【分类号】：K85",383,5
381,陈健飞,福建山地土壤的系统分类及其分布规律,山地土壤/土壤系统分类/垂直分布/福建,"福建山地土壤在我国亚热带山地土壤中具有一定代表性。本研究根据武夷山、梅花山、鼓山等山地的 19个土壤剖面野外调查和室内分析数据 ,鉴定了福建山地丘陵主要土壤的诊断层和诊断特性 ,进行发生学分类、中国土壤系统分类 (CST)、美国土壤系统分类 (USST)以及世界土壤资源参比基础 (WRB)之间的分类参比 ,同时阐明基于土壤系统分类制的福建主要山地土壤的分布规律 ,为中国土壤系统分类在亚热带山地丘陵区的应用提供范例。",《山地学报》,"
2001年01期","【作者单位】：
                福建师范大学自然资源研究中心!福建福州350007  【基金】：国家自然科学基金重点项目! (498310 0 4)  








福建省自然科学基金项目! (D940 0 6 )  【分类号】：S155.1",519,39
382,王开勇/赵天一/黎成厚/杨乐/杨斌/张凤华/,铁铝盐基离子对土壤中水溶性氟环境效应的影响,土壤水溶性氟/氯化铁/铝/磷酸盐/氧化物/,"氧化物或粘土矿物可吸附氟离子,但磷酸根离子与氟离子存在竞争吸附效应,造成氟的环境存在量、存在形态及生物效应更加复杂,影响了环境中氟污染的治理。试验选用典型贵州黄壤和石灰土,通过向模拟高氟污染土壤中添加铁铝盐基离子和磷酸盐,采用两因素最优设计,研究外源物质对土壤中水溶性氟的影响。结果表明,FeCl3.6H2O或AlCl3.6H2O都能降低土壤中水溶性氟,而KH2PO4使土壤中水溶性氟增加,对黄壤和石灰土中水溶性氟影响效果大小依次为FeCl3.6H2O(AlCl3.6H2O)、KH2PO4。同时表明,采用铁铝盐基离子改变黄壤性质,达到降氟效果仍有很大潜力,而石灰土环境在高添加铁铝盐基离子水平下继续添加FeCl3.6H2O或AlCl3.6H2O降低土壤中水溶性氟的作用较弱。从土壤pH看,黄壤水溶性氟受试验因子影响复杂,土壤pH低水溶性氟不一定低,pH在4～6时,氟元素的形态及有效性尤其复杂,而石灰土中水溶性氟基本随pH降低而降低。",《环境污染与防治》,"
2007年12期","【作者单位】：
                石河子大学农学院  双塔区农村经委员会  贵州大学生命科学学院  石河子大学农学院  贵州大学生命科学学院  石河子大学农学院  【基金】：国家重点基础研究发展计划项目(No2006CB708401)  



石河子大学自然科学基金资助项目(NoZRKX2006-Q22)  【分类号】：X131.3",196,8
383,宁婧,贵州喀斯特生态环境石灰土发生特征与诊断特性的研究,贵州/碳酸盐岩/石灰土/发生特征,"



	本文以贵州省碳酸盐岩母质上发育的土壤为研究对象,共采集41个典型剖面,通过野外调查、室内理化性质分析,研究了土壤的发生特性。以《中国土壤系统分类检索(第三版)》为依据,分析研究供试土壤所具有的诊断层和诊断特性并据此确定了其在系统分类中的归属和地位。旨在为为喀斯特生态环境的土壤分类研究及应用积累基础资料。研究结果表明:



	贵州省碳酸盐岩上发育土壤的主要理化性质为:机械组成表现为砂粒＞粘粒＞粉粒,在温度相对较高,雨量较大,植被覆盖度较好、海拔较低的地区大多数土壤具有粘化过程;有机质含量丰富,表层有机质含量一般在40g/kg以上,供试土壤pH值为中性偏弱碱性,碳酸钙相当物含量均很高,阳离子交换量与有机质含量呈显著正相关关系;游离铁含量均达到20g/kg,粘粒中SiO_2占绝对优势,P_2O_5含量较少,矿质元素含量的顺序依次为:SiO_2＞Al_2O_3＞Fe_2O_3＞CaO＞MgO＞K_2O＞P_2O_5。



	研究区域土壤划分出的诊断表层有暗沃表层、淡薄表层、肥熟表层、水耕表层,诊断表下层有雏形层、低活性富铁层、耕作淀积层、粘化层、水耕氧化还原层,诊断现象:有机现象,水耕现象,钙积现象,诊断特性有碳酸盐岩性特征、常湿润土壤水分状况、热性土壤温度状况、氧化还原特征、均腐殖质特性、腐殖质特性、铁质特性、石灰性、盐基饱和土壤。



	供试土壤在系统分类中共检索出5个土纲,6个亚纲,8个土类,16个亚类;针对人为土、均腐土在分类检索中存在的问题,本文对《中国土壤系统分类检索(第三版)》进行了适当订正。建议的修订方案是:水耕人为土下增加热性水耕人为土土类,其下续分为石灰热性水耕人为土、钙质热性水耕人为土、石质热性水耕人为土、普通热性水耕人为土等亚类。在岩性均腐土亚纲下增加暗沃岩性均腐土土类,其下续分为石灰暗沃岩性均腐土、铁质暗沃岩性均腐土、钙积暗沃岩性均腐土、普通暗沃岩性均腐土等几个亚类。



	供试土壤分别在美国系统分类(ST,1994),联合国制定的《UAO-UNESCO世界土壤图图例》(修订版,联合国粮农组织,1990)和《中国土壤分类系统(1998)》不同的分类系统作高级分类归属,并作出高级分类参比。",《贵州大学》,"
2009年",【学位授予单位】：贵州大学【学位级别】：硕士【学位授予年份】：2009【分类号】：S155,397,13
384,李苑菱/陈宗铸/雷金睿/陈小花/吴庭天,海口市东寨港红树林湿地植物多样性研究,湿地/物种多样性/群落优势种/丰富度,"通过对海口市美兰区东寨港红树林湿地区域的植物群落调查,研究其植物群落物种组成、群落优势种和群落物种多样性特征,并采集湿地的水样、土样进行检测分析,以期为湿地的生态保护与管理提供有效依据。结果表明,(1)在14个调查样方中,共记录维管植物54科111属126种,以芸香科、茜草科、菊科、大戟科和红树科植物为主,植物组成较为丰富;(2)东寨港湿地植物群落的优势种群主要由红树植物和人工林植物组成,红树植物在乔灌层中均占有一定优势,而人工种植种在乔木层中的优势较为明显;(3)在东寨港湿地植物群落中,灌木群落的物种丰富度最高,草本群落的多样性指数和Pielou均匀度指数均为最高;(4)东寨港湿地水体pH为中性略偏酸性,土壤p H为中性略偏碱性,湿地整体水体环境不错,但部分区域的水质存在富营养化和污染现象。",《热带林业》,"
2019年02期","【作者单位】：
                海南省林业科学研究所  【基金】：海口市重点科技计划项目(2017-049):海口市湿地保护工程技术研究开发中心  【分类号】：S718.5",214,0
385,刘付程/顾也萍/史学正,安徽休屯盆地紫色土的特性和系统分类,紫色土/系统分类/休屯盆地/,"选取了休屯盆地不同时期紫红色沉积岩上发育的 6个紫色土剖面 ,系统地研究了其属性特征 ,并按照中国土壤系统分类的原则 ,鉴定其诊断层和诊断特性 ,检索了土壤系统分类的名称。同时也指出了现行《中国土壤系统分类》在紫色土系统分类应用中存在的问题 ,分析了其原因并提出修订建议",《土壤通报》,"
2002年04期","【作者单位】：
                安徽师大国土资源与旅游学院  安徽师大国土资源与旅游学院  中科院南京土壤研究所  【基金】：国家自然科学基金重点项目 (49831 0 0 4 )  








安徽省高校自然科学基金 (97JL0 37)   








中科院南京土壤所所长基金 (0 0 51 0 2 )  








安师大青年基金(2 0 0 0QL0 38)资助  【分类号】：S155.3",123,10
386,贾晓红/李新荣/王新平/樊恒文/赵金龙,流沙固定过程中土壤性质变异初步研究,流沙固定/土壤性质/空间变异/,"植被的分布格局与土壤性质空间异质性密切相关。对降水小于200mm地区的沙坡头无灌溉条件下流沙固定过程中土壤性质的空间变化进行了研究。结果表明,随固沙植物群落的演变和土壤成土环境的改善与生物地球化学循环过程的加强,土壤性质发生了显著的变化:(1)固沙区土壤机械组成中粘粒(0.001mm)含量、土壤水溶性盐(EC电导率)、pH、有机质和全氮含量都较流沙区有很大提高,且差异显著(p0.05);固沙区土壤剖面性质的改变主要发生在结皮层和0～5cm的表层(topsoil),受表层土壤发育的影响5～30cm土层有所改变,但差异性不显著(p0.05)。(2)土壤质地相对均一的流沙区土壤剖面性质无变异(p0.05)。(3)不同年限固沙区间土壤性质变异差异性不显著(p0.05);而表层(0～5cm)与结皮层土壤性质变化趋势一致,且相关性显著(r0.807,p0.05)。",《水土保持学报》,"
2003年04期","【作者单位】：
                中国科学院寒区旱区环境与工程研究所沙坡头沙漠试验研究站  中国科学院寒区旱区环境与工程研究所沙坡头沙漠试验研究站  中国科学院寒区旱区环境与工程研究所沙坡头沙漠试验研究站  中国科学院寒区旱区环境与工程研究所沙坡头沙漠试验研究站  中国科学院寒区旱区环境与工程研究所沙坡头沙漠试验研究站  【基金】：国家重点基础研究发展规划""973""项目(G2000048705)  
中国科学院沙坡头沙漠试验研究站开放基金(200026)资助  【分类号】：S154",282,63
387,王建武,酸性硫酸盐土的环境影响及其防治,酸性硫酸盐土/环境影响/防治/技术,"酸性硫酸盐土是一种分布于热带、亚热带湿润气候区海岸带的劣质土壤,在港湾生态系统中实际扮演着潜在污染源的角色.本文系统综述了酸性硫酸盐土的环境影响及其防治技术，提出了我国酸性硫酸盐土环境影响防治的对策。",《土壤与环境》,"
1998年04期","【作者单位】：
                华南农业大学热带亚热带生态研究所!广州  510642  【分类号】：S156",117,4
